Age,Sex,Types,Co2,Exercise,Num_of_use
기타,,일일(비회원),0.51,56.37,1
10대,,일일(회원),0,0.39,1
20대,,일일(회원),3.49,403.16,10
30대,,일일(회원),3.69,554.08,1
기타,,일일(회원),0.48,51.25,2
20대,,일일(회원),0,0,2
30대,,일일(회원),0.28,31.4,1
20대,F,일일(회원),0.87,84.26,4
30대,F,일일(회원),5.37,489.31,8
40대,F,일일(회원),1.69,162.13,2
50대,F,일일(회원),1.53,156.85,3
70대이상,F,일일(회원),0.41,45.65,1
기타,F,일일(회원),0.36,39.85,1
20대,M,일일(회원),1.56,183.39,5
30대,M,일일(회원),2.41,280.2,4
40대,M,일일(회원),0,0,1
기타,M,일일(회원),0.27,29.65,1
10대,,정기,0.65,58.24,5
20대,,정기,17.32,1747.76,40
30대,,정기,7.99,982.96,17
40대,,정기,8.74,931.29,21
50대,,정기,3.58,447.14,9
70대이상,,정기,0.3,33.1,1
기타,,정기,2.07,259.03,4
20대,,정기,0.88,97.69,4
30대,,정기,1.26,135.47,2
50대,,정기,0.31,38.23,1
20대,F,정기,5.12,505.01,12
30대,F,정기,3.92,395.45,11
40대,F,정기,4,381.43,16
50대,F,정기,3.08,318.1,8
기타,F,정기,0.63,70.4,4
10대,M,정기,1.14,136.97,7
20대,M,정기,18.71,2123.27,41
30대,M,정기,3.43,434.37,32
40대,M,정기,13.47,1836.09,38
50대,M,정기,7.79,986.83,20
60대,M,정기,12.36,1496.18,14
70대이상,M,정기,0.14,16.12,1
기타,M,정기,20.35,2369.86,33
40대,,단체,5.35,749.04,4
40대,F,단체,1.23,112.72,3
기타,F,단체,1.78,197.17,2
10대,M,단체,1.05,116.38,2
기타,M,단체,2.11,234,2
기타,,일일(비회원),10.81,1200.9,14
10대,,일일(회원),3.27,265.15,3
20대,,일일(회원),22.86,2759.52,19
30대,,일일(회원),2.2,220.28,4
40대,,일일(회원),5.5,814.18,2
50대,,일일(회원),2.41,277.05,2
20대,,일일(회원),1.6,161.92,7
10대,F,일일(회원),2.25,207.17,2
20대,F,일일(회원),30.47,2975.17,25
